"HDFC","ICICI"
"1,090.55","370.7"
"1,096.50","367.6"
"1,112.45","375.7"
"1,110.50","373.4"
"1,119.30","372.55"
"1,130.90","382.75"
"1,134.15","392.4"
"1,127.30","390.95"
"1,115.85","394.6"
"1,114.50","409.7"
"1,112.10","392.2"
"1,118.45","389.35"
"1,119.70","386.35"
"1,117.05","380.35"
"1,085.65","371.15"
"1,059.00","367.75"
"1,066.60","374.45"
"1,056.50","369.55"
"1,032.75","360.2"
"1,034.45","361.4"
"1,059.05","368.05"
"1,063.70","366.85"
"1,066.65","367.35"
"1,050.65","363.55"
"1,043.85","357.95"
"1,040.70","358.75"
"1,027.55","352.2"
"1,041.65","351"
"1,002.00","343.25"
"1,032.80","346.8"
"1,050.65","344.95"
"1,064.60","351.05"
"1,086.65","352.1"
"1,079.50","358.5"
"1,119.10","381.8"
"1,130.40","392.25"
"1,126.35","381.1"
"1,138.55","378.8"
"1,133.05","363"
"1,098.45","353.8"
"1,062.55","344.65"
"1,053.15","345.8"
"1,058.85","345.55"
"1,080.25","353.6"
"1,105.10","360.35"
"1,124.95","370.35"
"1,110.35","368.95"
"1,105.15","376.05"
"1,103.00","361.85"
"1,073.95","361"
"1,089.40","362.85"
"1,084.60","364.05"
"1,065.85","351.45"
"1,076.05","343.1"
"1,056.45","349.1"
"1,028.75","351"
"1,032.50","348.1"
"1,042.30","376.15"
"1,028.75","367.55"
"1,033.35","363.8"
"1,019.95","352"
"979.25","341.95"
"990.4","342.95"
"949.85","331.1"
"982.75","344.2"
"968.6","341.25"
"991.85","353"
"987.3","348.55"
"1,015.90","359.8"
"1,033.35","357.2"
"1,001.70","347.85"
"1,022.25","356.85"
"1,001.00","348.4"
"987.65","339.25"
"951.65","331.95"
"945.25","326.85"
"903.65","318.85"
"852.4","292.7"
"838.85","291.05"
"859.55","304.4"
"857.1","305.65"
"830.65","300.3"
"836.65","298.5"
"888.15","322.7"
"893.7","327.4"
"927.65","338.05"
"901.55","321.2"
"915.8","320.15"
"929.05","337.7"
"925","336.75"
"946.4","341.4"
"911.45","330.85"
"923","338.05"
"1,001.80","380.15"
"977.1","370.45"
"931.4","359.85"
"929.7","347.9"
"938.05","334.85"
"954.95","352.95"
"928.6","335.95"
"921.65","331.85"
"944.85","361.3"
"910.3","375.55"
"879.75","342"
"863.3","327.35"
"895.35","330.65"
"925.05","342.7"
"888.9","318.95"
"896.1","326.1"
"813.85","286.65"
"829.65","311.15"
"861.9","323.75"
"831.65","313.4"
"904.45","339.85"
"901.1","330.25"
"856.75","316.9"
"767.7","296.5"
"771.55","284"
"882.85","345.7"
"895.55","338.55"
"876.9","355.05"
"975.1","367.25"
"999.5","402.9"
"1,069.80","447.2"
"1,021.30","425.65"
"1,113.80","465.65"
"1,107.30","457.75"
"1,134.90","486.35"
"1,151.35","504.5"
"1,148.85","508.35"
"1,181.80","514.75"
"1,179.60","506.1"
"1,177.65","497.25"
"1,199.45","515.35"
"1,199.25","523.7"
"1,200.30","530.95"
"1,209.95","529.85"
"1,217.10","547"
"1,227.20","544.8"
"1,213.25","541.2"
"1,217.15","541.6"
"1,219.35","545.8"
"1,241.40","541"
"1,249.00","549.3"
"1,240.60","539.75"
"1,240.30","533.95"
"1,242.20","536.45"
"1,239.80","541.6"
"1,244.65","539.1"
"1,229.80","530.8"
"1,192.80","515.55"
"1,226.30","525.65"
"1,226.05","532.2"
"1,235.85","526.6"
"1,223.20","528.2"
"1,213.20","537.25"
"1,244.55","533.85"
"1,244.85","527.7"
"1,240.85","522.85"
"1,244.35","531.05"
"1,254.90","534.85"
"1,278.15","532.05"
"1,287.65","537.15"
"1,284.25","535.6"
"1,289.50","537.6"
"1,286.00","538.6"
"1,282.70","540.25"
"1,271.40","546.3"
"1,257.30","525.95"
"1,260.60","522.9"
"1,240.95","525.7"
"1,268.40","538.85"
"1,286.75","540.6"
"1,278.60","536.75"
"1,272.10","538.9"
"1,282.15","543.95"
"1,275.00","549.4"
"1,270.45","538.75"
"1,289.15","541.1"
"1,302.40","541.3"
"1,296.70","546.1"
"1,288.80","540.2"
"1,292.35","541.4"
"1,271.10","541.15"
"1,257.35","539.25"
"1,263.85","537.05"
"1,263.60","535.35"
"1,248.75","533.55"
"1,249.50","528.7"
"1,242.95","526.5"
"1,246.05","524.8"
"1,245.60","528.1"
"1,251.65","529.25"
"1,255.40","509.35"
"1,265.75","510.9"
"1,274.95","512.6"
"1,265.30","519.15"
"1,278.40","505.5"
"1,275.05","510.7"
"1,271.10","497.8"
"1,264.75","496.8"
"1,283.35","498.25"
"1,273.35","495"
"1,271.90","493.5"
"1,262.05","498.35"
"1,277.90","499.85"
"1,273.90","498.65"
"1,257.55","485.75"
"1,264.75","496.8"
"1,255.60","489.45"
"1,263.70","478.55"
"1,256.65","480.7"
"1,239.50","468.35"
"1,236.85","470.5"
"1,240.05","462.25"
"1,230.35","463.05"
"1,248.35","471.15"
"1,242.50","477.4"
"1,237.70","469.55"
"1,229.00","469.1"
"1,236.10","454.75"
"1,241.60","455.1"
"1,239.30","451.15"
"1,229.00","437.8"
"1,220.00","440.6"
"1,221.10","435.3"
"1,223.05","431.85"
"1,204.40","428.85"
"1,198.80","428.55"
"1,200.55","423.7"
"1,228.15","436.7"
"1,186.90","416.1"
"1,189.70","413.9"
"1,223.55","427.3"
"1,248.80","424.6"
"1,227.45","433.7"
"1,244.20","449.2"
"1,242.50","451.95"
"1,239.70","434.2"
"1,253.80","440.9"
"1,257.25","446.3"
"1,199.60","417.5"
"1,101.05","386.6"
"1,093.88","399.35"
"1,105.68","400.65"
"1,122.07","412.15"
"1,128.72","413.4"
"1,135.43","402.7"
"1,125.65","394.6"
"1,124.80","395.45"
"1,122.95","391.35"
"1,117.57","389"
"1,123.88","397.5"
"1,105.47","392.15"
"1,113.97","409.65"
"1,113.47","404.4"
"1,123.75","412.95"
"1,129.97","418.6"
"1,128.07","411.65"
"1,081.35","395.4"
"1,087.05","399.1"
"1,112.93","412.05"
"1,110.30","416.9"
"1,103.43","423.4"
"1,113.85","418.95"
"1,114.72","417.3"
"1,110.18","410.25"
"1,141.00","420.15"
"1,116.57","414.4"
"1,092.00","408.4"
"1,094.55","410.25"
"1,089.63","402.65"
"1,107.18","410.6"
"1,110.90","417.05"
"1,125.82","424.6"
"1,126.13","425.35"
"1,122.15","429.35"
"1,138.65","415.75"
"1,143.03","409"
"1,140.45","408.5"
"1,131.75","411.95"
"1,148.63","411.5"
"1,187.82","410.3"
"1,205.95","418.65"
"1,198.72","424.7"
"1,195.60","424.6"
"1,197.38","422.3"
"1,196.95","427.05"
"1,203.57","426.55"
"1,194.38","430.9"
"1,189.57","428.5"
"1,204.80","425.9"
"1,236.20","436.35"
"1,241.90","436.2"
"1,244.82","435.95"
"1,247.50","436.75"
"1,242.78","439"
"1,221.88","437.1"
"1,231.15","440.95"
"1,233.95","438.65"
"1,214.35","433.65"
"1,208.97","429.45"
"1,207.10","430.8"
"1,213.18","433.4"
"1,214.18","419.8"
"1,208.63","422.15"
"1,211.00","414.2"
"1,217.55","417.75"
"1,222.35","419.6"
"1,213.53","418"
"1,224.20","421.35"
"1,220.10","416.1"
"1,223.82","416.6"
"1,211.68","411.55"
"1,226.15","419.1"
"1,228.55","422.9"
"1,212.68","423.7"
"1,219.78","426.2"
"1,208.45","423.3"
"1,208.10","434.3"
"1,204.18","435.5"
"1,186.68","431.75"
"1,166.05","410.85"
"1,202.88","405.35"
"1,201.85","400.15"
"1,216.18","407.7"
"1,181.05","389.7"
"1,155.32","382.5"
"1,143.35","377.05"
"1,143.95","380.4"
"1,143.60","376.3"
"1,148.25","385.1"
"1,145.45","381.4"
"1,153.63","382.2"
"1,161.18","386.5"
"1,164.22","401.3"
"1,183.97","401.8"
"1,177.90","395.55"
"1,158.72","407.5"
"1,140.47","407.2"
"1,131.72","395.4"
"1,139.88","401.1"
"1,122.65","396.5"
"1,134.35","394.5"
"1,146.82","404.4"
"1,152.53","407"
"1,144.40","392.75"
"1,132.63","394.6"
"1,128.75","390.05"
"1,118.68","394.2"
"1,143.63","397.15"
"1,144.70","387.1"
"1,152.80","390.55"
"1,141.97","388.75"
"1,146.38","392.1"
"1,147.43","397.15"
"1,155.90","398.25"
"1,151.40","400.55"
"1,149.72","393.2"
